gender,year,month,day,school,height,pheight,mheight,math,class,games,exercise,TV,weather,hand,computer,vote,GPA_HS,sit,drink,caffeine,sleep,games_hours,friends,morning,commute,distance,GPA_UW,Exam1,gamble1,sport,color,temperature,siblings,birth_order,gamble,prob1,superpower,introvert,pref_age,commute2,age
Female,1996,September,1,In the US but outside of Washington State,68,73,68,A fair amount,A fair amount,Not at all,Very much,Just a little,Just a little,Right,PC,Republican,4.1,In the middle,0,1,9,0,689,A morning person,bus,1,3.56,95,Yes,American Football,Green,65,2,1,No,1/2,Flight,neutral,25,walk,21.4167
Female,1977,April,4,In the US but outside of Washington State,62,72,62,Very much,Just a little,Not at all,Just a little,Just a little,Very much,Right,PC,Democrat,3.9,Near the front,1,1,7.5,0,260,An evening person,bus,11,3.7,92,No,None of the above,Green,72,4,4,No,1/2,Invisibility,neutral,32,drive,40.8333
Female,1993,April,1,In Washington State,66,,,Not at all,Just a little,Just a little,Just a little,A fair amount,Very much,Right,Apple,Democrat,3.7,Near the front,5,2,8,0,138,An evening person,bus,5.5,2.6,65,Yes,None of the above,Red,75,0,1,No,1/32,Invisibility,agree,23,drive,24.8333
Male,1997,March,11,In Washington State,68,69,57,A fair amount,A fair amount,Very much,A fair amount,A fair amount,A fair amount,Left,Apple,Democrat,3.9,Toward the back,0,5,6,1,437,An evening person,walk,1,3.3,84,Yes,Basketball,Red,78,2,3,No,1/32,Flight,disagree,26,walk,20.9167
Female,1997,June,13,In the US but outside of Washington State,62,72,61,A fair amount,Very much,Just a little,Just a little,Just a little,A fair amount,Right,Apple,Democrat,4.1,Near the front,1,5,6,0,910,An evening person,walk,1,3.46,90,Yes,Basketball,Green,70,1,1,Yes,1/2,Flight,agree,24,walk,20.6667
Male,1995,November,30,In Washington State,73,74,69,Just a little,Just a little,Just a little,Very much,Just a little,Not at all,Right,Apple,Independent,3.3,Near the front,4,0,7,0,789,An evening person,walk,1,3.05,85,Yes,None of the above,Green,70,1,2,No,1/2,Flight,strongly disagree,23,dorm,22.25
Female,1996,March,15,In the US but outside of Washington State,66,70,63,Not at all,Just a little,A fair amount,A fair amount,Just a little,Just a little,Right,PC,I never (or can't) vote,3.8,In the middle,1,1,7,1,243,An evening person,drive,2,2.5,90,No,Basketball,Blue,68,0,1,No,1/2,Invisibility,strongly agree,18,walk,21.9167
Female,1996,July,6,In the US but outside of Washington State,61,67,66,Just a little,Not at all,Very much,Just a little,Very much,,Right,PC,Republican,2.9,Near the front,0,2,8,5,1022,A morning person,bus,2,2.5,60,No,None of the above,Blue,75,1,1,No,1/4,Flight,strongly agree,10,drive,21.5833
Female,1995,April,6,In Washington State,70,74,62,Not at all,Just a little,Just a little,Just a little,Very much,A fair amount,Right,Apple,Other,3.5,Near the front,6,0,7.5,0,275,An evening person,bus,6,3.2,87,No,Basketball,Blue,60,2,1,No,1/2,Flight,agree,7,drive,22.8333
Female,1995,July,7,In the US but outside of Washington State,68,73,70,Just a little,Just a little,Not at all,A fair amount,Just a little,Just a little,Right,Apple,Republican,3.73,Toward the back,6,2,8,0,742,Neither,walk,0.07,2.87,80,No,Soccer,Pink,72,2,3,No,1/2,Flight,neutral,18,walk,22.5833
